id,name,slug,barcode,category,brand,aggregate_stock,is_available,stock_by_capacity_json,capacity_field,capacity_labels,capacity_pricing_detail
1183,K.O Honey and Lemon,kenyan-originals-ko-honey-and-lemon-six-pack,,Beer,Kenyan-Originals,10,true,,Six Pack,Six Pack,
1184,K.O Light Tonic,kenyan-originals-ko-light-tonic-330ml,,Beer,Kenyan-Originals,10,true,,330ml,330ml,
1185,K.O Passion & Lime,kenyan-originals-ko-passion-lime-six-pack,,Beer,Kenyan-Originals,10,true,,Six Pack | 12 PACK,Six Pack | 12 PACK,
1186,K.O Pink Tonic Rose & Cucumber,kenyan-originals-ko-pink-tonic-rose-cucumber-330ml,,Beer,Kenyan-Originals,10,true,,330ml,330ml,
1384,Manyatta Cider Beer,kenyan-originals-manyatta-cider-beer-six-pack,,Beer,Kenyan-Originals,10,true,,Six Pack,Six Pack,
1385,Manyatta Lemon & Ginger,kenyan-originals-manyatta-lemon-ginger-six-pack,,Beer,Kenyan-Originals,10,true,,Six Pack,Six Pack,
1387,Manyatta Pineapple Mint Beer,kenyan-originals-manyatta-pineapple-mint-beer-six-pack,,Beer,Kenyan-Originals,10,true,,Six Pack | 12 PACK,Six Pack | 12 PACK,
1020,Heineken 330ml bottle,heineken-heineken-330ml-bottle-six-pack,,Beer,Heineken,10,true,,Six Pack | 12 PACK | 24 PACK,Six Pack | 12 PACK | 24 PACK,
1021,Heineken Lager  500ml Can,heineken-heineken-lager-500ml-can-six-pack,,Beer,Heineken,10,true,,Six Pack | 12 PACK | 24 PACK,Six Pack | 12 PACK | 24 PACK,
1022,Heineken Zero,heineken-heineken-zero-six-pack,,Beer,Heineken,10,true,,Six Pack | 12 PACK,Six Pack | 12 PACK,
1999,Whitecap,whitecap-whitecap-six-pack,,Beer,Whitecap,10,true,,Six Pack | 12 PACK | 24 PACK,Six Pack | 12 PACK | 24 PACK,
2000,Whitecap Crisp Can,whitecap-whitecap-crisp-can-six-pack,,Beer,Whitecap,10,true,,Six Pack | 12 PACK,Six Pack | 12 PACK,
1745,Savanna Angry Lemon Premium Cider,savanna-cider-savanna-angry-lemon-premium-cider-six-pack,,Beer,Savanna Cider,10,true,,Six Pack | 12 PACK,Six Pack | 12 PACK,
1746,Savanna Cider,savanna-cider-savanna-cider-six-pack,,Beer,Savanna Cider,10,true,,Six Pack | 12 PACK | 24 PACK,Six Pack | 12 PACK | 24 PACK,
755,Faxe 10% Extra,faxe-faxe-10-extra-six-pack,,Beer,Faxe,10,true,,Six Pack | 12 PACK | 24 PACK,Six Pack | 12 PACK | 24 PACK,
1578,Oettinger Pils 4.7%,oettinger-oettinger-pils-47-500ml,,Beer,Oettinger,10,true,,500ml,500ml,
1579,Oettinger Superforte 8.9%,oettinger-oettinger-superforte-89-500ml,,Beer,Oettinger,10,true,,500ml,500ml,
